WBANNO,LST_DATE,CRX_VN,LONGITUDE,LATITUDE,T_DAILY_MAX,T_DAILY_MIN,T_DAILY_MEAN,T_DAILY_AVG,P_DAILY_CALC,SOLARAD_DAILY,SUR_TEMP_DAILY_TYPE,SUR_TEMP_DAILY_MAX,SUR_TEMP_DAILY_MIN,SUR_TEMP_DAILY_AVG,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG,SOIL_MOISTURE_5_DAILY,SOIL_MOISTURE_10_DAILY,SOIL_MOISTURE_20_DAILY,SOIL_MOISTURE_50_DAILY,SOIL_MOISTURE_100_DAILY,SOIL_TEMP_5_DAILY,SOIL_TEMP_10_DAILY,SOIL_TEMP_20_DAILY,SOIL_TEMP_50_DAILY,SOIL_TEMP_100_DAILY,site,year
63869,2009-01-01,1.3019999999999998,-87.88,30.55,16.6,1.3,8.9,9.1,0.0,9.75,R,23.0,-0.6,9.4,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-02,1.3019999999999998,-87.88,30.55,23.1,10.9,17.0,16.5,0.0,8.29,R,28.6,9.2,16.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-03,1.3019999999999998,-87.88,30.55,23.8,13.4,18.6,17.8,11.9,5.85,R,28.5,12.9,17.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-04,1.3019999999999998,-87.88,30.55,23.5,13.7,18.6,17.7,1.4,10.59,R,29.8,11.3,17.2,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-05,1.3019999999999998,-87.88,30.55,22.7,16.6,19.6,19.6,0.0,6.4,R,26.4,16.1,19.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-06,1.3019999999999998,-87.88,30.55,24.3,14.7,19.5,21.0,31.1,9.2,R,27.6,14.6,21.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-07,1.3019999999999998,-87.88,30.55,16.1,8.3,12.2,14.0,0.6,14.97,R,20.4,3.4,12.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-08,1.3019999999999998,-87.88,30.55,20.9,5.6,13.2,14.6,0.0,14.36,R,24.5,2.2,12.4,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-09,1.3019999999999998,-87.88,30.55,19.9,3.8,11.8,12.9,0.0,12.81,R,25.8,1.0,11.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-10,1.3019999999999998,-87.88,30.55,21.8,17.2,19.5,19.7,1.2,4.93,R,24.4,16.0,19.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-11,1.3019999999999998,-87.88,30.55,17.2,3.0,10.1,8.4,0.0,6.61,R,17.1,1.1,8.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-12,1.3019999999999998,-87.88,30.55,13.2,-0.5,6.4,5.2,0.0,13.68,R,19.9,-3.1,4.7,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-13,1.3019999999999998,-87.88,30.55,15.7,-1.3,7.2,7.6,0.0,15.11,R,21.1,-3.7,7.2,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-14,1.3019999999999998,-87.88,30.55,10.9,-2.7,4.1,3.6,0.0,15.73,R,18.5,-5.4,3.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-15,1.3019999999999998,-87.88,30.55,12.4,-3.1,4.6,4.5,0.0,13.83,R,19.3,-5.6,4.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-16,1.3019999999999998,-87.88,30.55,6.9,-5.0,1.0,0.4,0.0,15.34,R,15.2,-7.7,0.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-17,1.3019999999999998,-87.88,30.55,11.6,-6.1,2.8,4.1,0.0,14.33,R,20.1,-8.1,4.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-18,1.3019999999999998,-87.88,30.55,18.0,2.3,10.1,12.3,4.6,9.74,R,23.4,-0.3,10.7,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-19,1.3019999999999998,-87.88,30.55,16.2,2.5,9.4,9.7,0.0,11.89,R,21.4,-0.1,8.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-20,1.3019999999999998,-87.88,30.55,7.0,-3.9,1.6,2.2,0.0,15.75,R,15.0,-8.2,1.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-21,1.3019999999999998,-87.88,30.55,6.9,-8.5,-0.8,-1.3,0.0,16.28,R,15.0,-10.9,-1.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-22,1.3019999999999998,-87.88,30.55,15.4,-6.4,4.5,4.9,0.0,15.87,R,23.8,-8.3,4.5,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-23,1.3019999999999998,-87.88,30.55,21.0,2.5,11.8,14.2,0.0,13.73,R,26.5,0.2,12.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-24,1.3019999999999998,-87.88,30.55,18.2,10.3,14.2,13.8,0.7,3.26,R,20.7,8.8,13.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-25,1.3019999999999998,-87.88,30.55,13.6,9.1,11.3,11.3,1.5,4.41,R,16.8,9.2,12.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-26,1.3019999999999998,-87.88,30.55,21.7,8.9,15.3,14.0,0.0,10.35,R,26.8,6.5,13.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-27,1.3019999999999998,-87.88,30.55,23.8,11.9,17.9,16.9,0.0,12.9,R,29.7,9.1,16.7,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-28,1.3019999999999998,-87.88,30.55,19.1,7.1,13.1,15.0,0.9,6.43,R,22.2,6.5,15.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-29,1.3019999999999998,-87.88,30.55,13.1,3.1,8.1,7.1,0.0,15.78,R,19.8,-0.6,7.5,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-30,1.3019999999999998,-87.88,30.55,12.2,-2.3,5.0,5.6,0.0,17.5,R,19.2,-5.2,5.6,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-01-31,1.3019999999999998,-87.88,30.55,15.7,-2.9,6.4,6.8,0.0,17.36,R,23.5,-5.5,5.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-01,1.3019999999999998,-87.88,30.55,19.4,-0.6,9.4,9.5,0.0,13.14,R,28.7,-2.9,8.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-02,1.3019999999999998,-87.88,30.55,17.6,5.3,11.4,11.9,3.0,4.27,R,19.6,0.7,10.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-03,1.3019999999999998,-87.88,30.55,11.2,-2.6,4.3,6.7,0.0,17.76,R,18.5,-5.5,6.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-04,1.3019999999999998,-87.88,30.55,6.4,-6.5,-0.1,0.4,0.0,18.5,R,13.9,-10.3,0.5,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-05,1.3019999999999998,-87.88,30.55,9.7,-7.4,1.1,0.5,0.0,18.07,R,20.4,-10.5,0.7,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-06,1.3019999999999998,-87.88,30.55,18.1,-4.8,6.7,6.2,0.0,17.91,R,27.4,-6.7,6.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-07,1.3019999999999998,-87.88,30.55,21.4,0.4,10.9,10.6,0.0,13.18,R,31.2,-1.8,9.5,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-08,1.3019999999999998,-87.88,30.55,21.5,2.9,12.2,11.9,0.0,17.9,R,32.2,0.6,11.4,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-09,1.3019999999999998,-87.88,30.55,21.6,5.0,13.3,13.9,0.0,11.27,R,28.2,3.1,13.4,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-10,1.3019999999999998,-87.88,30.55,23.5,12.4,18.0,19.0,0.0,12.8,R,29.3,9.4,18.7,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-11,1.3019999999999998,-87.88,30.55,22.7,7.0,14.9,18.4,1.7,8.58,R,24.2,2.3,16.6,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-12,1.3019999999999998,-87.88,30.55,20.9,2.5,11.7,11.5,0.0,18.32,R,29.3,-0.2,9.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-13,1.3019999999999998,-87.88,30.55,23.0,3.1,13.0,11.9,47.5,9.46,R,29.8,1.2,12.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-14,1.3019999999999998,-87.88,30.55,18.9,12.3,15.6,15.4,63.0,5.59,R,24.0,11.0,15.5,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-15,1.3019999999999998,-87.88,30.55,19.4,8.4,13.9,13.6,0.4,9.79,R,22.8,5.3,13.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-16,1.3019999999999998,-87.88,30.55,15.3,0.4,7.8,8.2,0.0,16.99,R,22.7,-1.9,7.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-17,1.3019999999999998,-87.88,30.55,18.1,-0.8,8.7,10.4,0.0,11.51,R,24.9,-3.2,9.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-18,1.3019999999999998,-87.88,30.55,21.7,16.5,19.1,19.2,1.1,6.95,R,25.0,14.9,18.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-19,1.3019999999999998,-87.88,30.55,19.1,5.5,12.3,13.5,0.0,20.48,R,21.7,2.7,12.5,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-20,1.3019999999999998,-87.88,30.55,12.8,-3.4,4.7,4.7,0.0,20.68,R,20.7,-5.2,4.6,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-21,1.3019999999999998,-87.88,30.55,17.0,-4.4,6.3,7.9,0.0,19.03,R,25.1,-7.3,7.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-22,1.3019999999999998,-87.88,30.55,13.3,1.5,7.4,8.6,1.1,18.43,R,18.9,-2.8,7.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-23,1.3019999999999998,-87.88,30.55,15.3,-0.4,7.4,6.1,0.0,20.64,R,22.6,-3.8,5.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-24,1.3019999999999998,-87.88,30.55,17.2,-2.4,7.4,8.9,0.0,19.71,R,25.9,-4.8,8.6,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-25,1.3019999999999998,-87.88,30.55,21.3,7.2,14.2,14.1,0.0,18.72,R,27.7,4.5,13.4,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-26,1.3019999999999998,-87.88,30.55,22.4,8.9,15.6,17.3,0.0,11.12,R,26.3,6.5,16.6,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-27,1.3019999999999998,-87.88,30.55,24.6,17.3,20.9,20.2,0.0,15.08,R,28.6,15.2,20.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-02-28,1.3019999999999998,-87.88,30.55,21.0,6.2,13.6,17.1,6.2,5.44,R,23.3,5.2,16.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-01,1.3019999999999998,-87.88,30.55,12.8,2.0,7.4,6.1,0.0,14.67,R,15.7,1.0,5.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-02,1.3019999999999998,-87.88,30.55,12.5,0.2,6.4,5.1,0.0,22.06,R,18.7,-3.1,5.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-03,1.3019999999999998,-87.88,30.55,12.1,-1.9,5.1,4.7,0.0,20.79,R,20.0,-3.8,5.1,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-04,1.3019999999999998,-87.88,30.55,18.1,-2.3,7.9,8.6,0.0,15.95,R,27.3,-4.8,7.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-05,1.3019999999999998,-87.88,30.55,20.0,3.4,11.7,11.4,0.0,21.09,R,26.0,1.1,10.5,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-06,1.3019999999999998,-87.88,30.55,22.6,3.3,13.0,13.9,0.0,15.8,R,27.5,1.9,12.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-07,1.3019999999999998,-87.88,30.55,23.6,6.2,14.9,16.3,0.0,20.79,R,28.4,4.5,15.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-08,1.3019999999999998,-87.88,30.55,25.2,13.5,19.3,18.8,0.0,16.51,R,29.1,11.4,18.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-09,1.3019999999999998,-87.88,30.55,25.3,11.5,18.4,19.3,0.0,17.0,R,28.5,8.9,18.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-10,1.3019999999999998,-87.88,30.55,25.1,11.8,18.4,19.2,0.0,21.52,R,29.2,9.0,18.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-11,1.3019999999999998,-87.88,30.55,24.9,10.4,17.7,17.6,0.0,19.19,R,29.2,8.5,17.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-12,1.3019999999999998,-87.88,30.55,22.6,11.2,16.9,16.3,0.0,17.79,R,29.0,9.5,16.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-13,1.3019999999999998,-87.88,30.55,24.7,9.4,17.0,17.7,0.0,17.2,R,28.6,7.7,17.2,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-14,1.3019999999999998,-87.88,30.55,24.2,18.0,21.1,20.4,22.6,9.79,R,26.4,17.0,20.2,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-15,1.3019999999999998,-87.88,30.55,21.2,17.2,19.2,19.4,38.1,5.78,R,26.7,17.8,19.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-16,1.3019999999999998,-87.88,30.55,19.6,13.4,16.5,17.5,59.2,1.82,R,20.0,12.1,17.4,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-17,1.3019999999999998,-87.88,30.55,23.9,8.7,16.3,17.1,0.0,23.8,R,27.2,6.9,16.5,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-18,1.3019999999999998,-87.88,30.55,23.5,6.9,15.2,15.1,0.0,16.45,R,29.4,5.0,13.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-19,1.3019999999999998,-87.88,30.55,24.5,7.1,15.8,16.8,0.0,21.81,R,30.1,5.8,15.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-20,1.3019999999999998,-87.88,30.55,23.6,10.8,17.2,17.0,0.0,23.59,R,28.6,5.1,15.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-21,1.3019999999999998,-87.88,30.55,22.7,6.9,14.8,14.8,0.0,22.94,R,28.4,3.7,13.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-22,1.3019999999999998,-87.88,30.55,21.9,5.5,13.7,14.1,0.0,21.42,R,28.2,2.8,13.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-23,1.3019999999999998,-87.88,30.55,23.1,5.0,14.1,14.6,0.0,18.39,R,29.6,2.9,13.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-24,1.3019999999999998,-87.88,30.55,23.4,10.6,17.0,18.7,0.0,11.84,R,25.7,8.0,17.8,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-25,1.3019999999999998,-87.88,30.55,23.8,17.8,20.8,20.8,5.9,12.97,R,25.6,17.3,20.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-26,1.3019999999999998,-87.88,30.55,21.2,16.2,18.7,19.0,43.4,6.82,R,25.6,15.9,19.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-27,1.3019999999999998,-87.88,30.55,20.9,17.0,18.9,17.9,70.7,0.63,R,20.6,16.8,17.7,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-28,1.3019999999999998,-87.88,30.55,24.9,11.6,18.3,18.4,83.4,21.41,R,27.7,8.7,17.9,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-29,1.3019999999999998,-87.88,30.55,18.1,4.4,11.3,12.1,0.0,26.09,R,24.6,2.3,12.0,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-30,1.3019999999999998,-87.88,30.55,21.4,2.2,11.8,13.1,0.0,24.27,R,27.1,0.3,12.2,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-03-31,1.3019999999999998,-87.88,30.55,22.9,11.0,16.9,18.5,11.3,3.8,R,24.2,9.7,18.2,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
63869,2009-04-01,1.3019999999999998,-87.88,30.55,21.9,15.5,18.7,19.5,0.0,9.84,R,22.6,14.7,19.3,,,,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,AL_Fairhope_3_NE,2009
