station,startDate,latitude,longitude,station_type
2053:AL:SCAN,2002-02-08,34.9,-86.533,SCAN
2055:AL:SCAN,2002-04-23,34.445,-86.166,SCAN
2056:AL:SCAN,2002-04-23,34.433,-86.683,SCAN
2057:AL:SCAN,2002-04-24,34.783,-86.55,SCAN
2078:AL:SCAN,2003-08-26,34.894,-86.602,SCAN
2113:AL:SCAN,2006-05-18,34.195,-86.799,SCAN
2114:AL:SCAN,2006-06-07,32.608,-88.197,SCAN
2115:AL:SCAN,2006-05-19,32.435,-85.748,SCAN
2173:AL:SCAN,2010-04-09,34.82,-87.987,SCAN
2174:AL:SCAN,2010-04-10,33.108,-88.31,SCAN
2175:AL:SCAN,2010-04-11,33.332,-85.518,SCAN
2176:AL:SCAN,2010-04-12,32.404,-86.891,SCAN
2177:AL:SCAN,2015-07-11,32.284,-86.053,SCAN
2178:AL:SCAN,2010-04-14,32.412,-85.91,SCAN
2179:AL:SCAN,2010-04-15,34.18,-87.456,SCAN
2180:AL:SCAN,2010-05-08,30.524,-87.698,SCAN
2181:AL:SCAN,2010-05-08,31.109,-87.553,SCAN
2182:AL:SCAN,2010-05-10,31.019,-85.037,SCAN
AL_Fairhope_3_NE,2009-06-30,30.55,-87.88,CRN
AL_Gadsden_19_N,2009-06-21,34.29,-85.96,CRN
AL_Selma_13_WNW,2018-03-28,32.46,-87.24,CRN
