Date,station,SMS-2.0in,SMS-4.0in,SMS-8.0in,SMS-20.0in,SMS-40.0in
2002-04-24,2057:AL:SCAN,14.7,12.7,16.6,33.8,35.1
2002-04-25,2057:AL:SCAN,14.5,11.8,16.0,,34.9
2002-04-26,2057:AL:SCAN,13.5,11.6,15.4,34.4,34.9
2002-04-27,2057:AL:SCAN,13.2,11.5,15.5,33.8,34.9
2002-04-28,2057:AL:SCAN,13.5,11.5,15.0,32.5,34.6
2002-04-29,2057:AL:SCAN,13.3,11.4,14.6,32.3,34.6
2002-04-30,2057:AL:SCAN,12.9,11.1,14.0,32.4,34.6
2002-05-01,2057:AL:SCAN,19.8,11.7,14.0,31.9,34.4
2002-05-02,2057:AL:SCAN,19.0,12.9,14.3,31.7,34.4
2002-05-03,2057:AL:SCAN,21.9,20.4,17.8,31.6,34.3
2002-05-04,2057:AL:SCAN,31.8,28.9,23.8,35.3,37.8
2002-05-05,2057:AL:SCAN,27.4,24.8,20.2,35.2,38.3
2002-05-06,2057:AL:SCAN,25.6,23.5,19.5,34.4,38.3
2002-05-07,2057:AL:SCAN,25.0,22.9,19.2,34.3,38.1
2002-05-08,2057:AL:SCAN,23.3,21.6,18.8,34.3,38.0
2002-05-09,2057:AL:SCAN,21.6,20.3,18.2,34.0,38.0
2002-05-10,2057:AL:SCAN,22.8,20.3,18.0,33.8,38.0
2002-05-11,2057:AL:SCAN,27.5,24.5,20.1,34.0,37.8
2002-05-12,2057:AL:SCAN,25.5,23.2,19.3,34.0,37.6
2002-05-13,2057:AL:SCAN,23.3,22.2,18.9,34.0,37.8
2002-05-14,2057:AL:SCAN,22.5,21.5,18.5,34.0,37.9
2002-05-15,2057:AL:SCAN,20.9,20.5,18.1,34.4,37.6
2002-05-16,2057:AL:SCAN,19.3,19.7,17.7,33.6,37.6
2002-05-17,2057:AL:SCAN,17.5,18.3,17.2,33.5,37.3
2002-05-18,2057:AL:SCAN,30.6,28.0,21.9,33.2,37.1
2002-05-19,2057:AL:SCAN,26.8,24.7,19.8,33.9,37.1
2002-05-20,2057:AL:SCAN,24.3,23.3,19.1,34.1,37.1
2002-05-21,2057:AL:SCAN,22.3,22.3,18.6,34.2,37.0
2002-05-22,2057:AL:SCAN,21.1,21.6,18.4,34.2,36.9
2002-05-23,2057:AL:SCAN,20.8,21.0,18.1,33.6,36.1
2002-05-24,2057:AL:SCAN,20.3,20.4,17.9,33.7,36.0
2002-05-25,2057:AL:SCAN,19.2,19.8,17.5,33.7,35.9
2002-05-26,2057:AL:SCAN,18.7,18.9,17.5,33.5,36.0
